Canonical Type,Count,Lines,Raw Types
UNKNOWN_PATH::vendor_shopServiceInterface);,1,1484,vendor_shopServiceInterface);
UNKNOWN_PATH::vendor_orderDetailsServiceInterface);,1,1489,vendor_orderDetailsServiceInterface);
UNKNOWN_PATH::vendor_productDetailsServiceInterface);,1,1494,vendor_productDetailsServiceInterface);
UNKNOWN_PATH::barcodeServiceInterface);,1,1497,barcodeServiceInterface);
UNKNOWN_PATH::vendor_restockServiceInterface);,1,1501,vendor_restockServiceInterface);
UNKNOWN_PATH::clearanceSaleServiceInterface);,1,1506,clearanceSaleServiceInterface);
UNKNOWN_PATH::vendor_categoryServiceInterface);,1,1510,vendor_categoryServiceInterface);
UNKNOWN_PATH::vatServiceInterface);,1,1513,vatServiceInterface);
UNKNOWN_PATH::aiServiceInterface);,1,1516,aiServiceInterface);
UNKNOWN_PATH::orderEditServiceInterface);,1,1520,orderEditServiceInterface);
UNKNOWN_PATH::vendor_auctionAiServiceInterface);,1,1527,vendor_auctionAiServiceInterface);
UNKNOWN_PATH::auctionProductServiceInterface);,1,1532,auctionProductServiceInterface);
package:flutter_sixvalley_ecommerce/features/vendor/auth/domain/repositories/auth_repository.dart::AuthRepository,1,1535,v_auth_repository.AuthRepository
package:flutter_sixvalley_ecommerce/features/vendor/splash/domain/repositories/splash_repository.dart::SplashRepository,1,1537,v_splash_repository.SplashRepository
package:flutter_sixvalley_ecommerce/features/vendor/profile/domain/repositories/profile_repository.dart::ProfileRepository,1,1539,v_profile_repository.ProfileRepository
package:flutter_sixvalley_ecommerce/features/vendor/shop/domain/repositories/shop_repository.dart::ShopRepository,1,1541,v_shop_repository.ShopRepository
package:flutter_sixvalley_ecommerce/features/vendor/bank_info/domain/repositories/bank_info_repository.dart::BankInfoRepository,1,1545,v_bank_info_repository.BankInfoRepository
package:flutter_sixvalley_ecommerce/features/vendor/settings/domain/repositories/business_repository.dart::BusinessRepository,1,1549,v_business_repository.BusinessRepository
package:flutter_sixvalley_ecommerce/features/vendor/product/domain/repositories/product_repository.dart::ProductRepository,1,1554,v_product_repository.ProductRepository
package:flutter_sixvalley_ecommerce/features/vendor/pos/domain/repository/cart_repository.dart::CartRepository,1,1564,v_cart_repository.CartRepository
package:flutter_sixvalley_ecommerce/features/vendor/coupon/domain/repositories/coupon_repository.dart::CouponRepository,1,1571,v_coupon_repository.CouponRepository
